date,title,price,link,category
2026-01-25,SK海力士官方旗舰店 DDR5 REG ECC RDIMM服务器工作站内存条 适用(戴尔 惠普 华为 超微 等）海力士 64G DDR5 4800 RECC服务器内存条,15999.0,https://item.jd.com/10204150021049.html,服务器-DDR5
2026-01-25,联想（Lenovo）拯救者原装 16G DDR5 5600 频率 笔记本内存条  AI电脑原装 高容量 五代 三星成品条,1299.0,https://item.jd.com/100218701389.html,笔记本-DDR5
2026-01-25,联想（Lenovo）拯救者原装 16G DDR5 5600 频率 笔记本内存条 AI电脑原装 高容量 五代 拯救者 AI 三星原厂颗粒,1199.0,https://item.jd.com/100291957822.html,笔记本-DDR5
2026-01-25,七彩虹（Colorful）48G(24G*2)DDR5 5600 台式机内存条 马甲条 战斧系列·陨铁黑 C46,2499.0,https://item.jd.com/100257411808.html,台式-DDR5
2026-01-25,SK海力士官方旗舰店 DDR5 REG ECC RDIMM服务器工作站内存条 适用(戴尔 惠普 华为 超微 等）海力士 64G DDR5 5600 RECC服务器内存条,18999.0,https://item.jd.com/10204150021050.html,服务器-DDR5
2026-01-25,七彩虹(Colorful)16G DDR5 6000 台式机内存条 马甲条 战斧系列·陨铁黑 C38,1399.0,https://item.jd.com/100090120212.html,台式-DDR5
2026-01-25,威刚（ADATA）32GB DDR5 5600 笔记本内存 万紫千红,2299.0,https://item.jd.com/100141619579.html,笔记本-DDR5
2026-01-25,G.SKILL芝奇（G.SKILL）32GB(16Gx2)套装 DDR5 6400频率 台式机内存条-幻锋戟RGB灯条(科技银)/C32,2799.0,https://item.jd.com/100018460083.html,台式-DDR5
2026-01-25,金士顿（Kingston） Beast野兽系列 4代 台式机内存条DDR4 Fury骇客神条灯条电脑运行内存条 支持XMP DDR4 3200MHz 马甲条 32GB 2条 *64G（32G*2）,4799.0,https://item.jd.com/10181702561285.html,台式-DDR4
2026-01-25,佰维（BIWIN）16G DDR5 6000频率台式机内存条 时空行者DW100炫光 RGB灯条(C28)黑色 AI PC电脑配件,1699.0,https://item.jd.com/100316791676.html,台式-DDR5
2026-01-25,佰维（BIWIN）48G(24G×2)套装 DDR5 6000频率台式机内存条 时空行者DW100 RGB灯条(C28)白色AI PC电脑存储配件,3599.0,https://item.jd.com/100214798098.html,台式-DDR5
2026-01-25,YSSOMAR 香港黑龙 白极光Ⅱ DDR5 6000MHz 时序c28 海力士M-DIE颗粒 流光导光柱内存条 6000MHz 海力士M-DIE c28 星野黑 32GB 1套 16Gx2,2677.0,https://item.jd.com/10199799762792.html,台式-DDR5
2026-01-25,英睿达(crucial)美光 内存条DDR5 5600频率笔记本电脑内存条 美光原厂颗粒 5600频率套条96G(48G*2),6999.0,https://item.jd.com/10098360015701.html,笔记本-DDR5
2026-01-25,七彩虹(Colorful)32G(16Gx2)DDR5 6000 台式机内存条 马甲条 战斧系列·陨铁黑 C38,2799.0,https://item.jd.com/100090120192.html,台式-DDR5
2026-01-25,佰维（BIWIN）48G(24G×2)套装 DDR5 6000频率台式机内存条 时空行者DW100 RGB灯条(C28)黑色AI PC电脑存储配件,3599.0,https://item.jd.com/100166971689.html,台式-DDR5
2026-01-25,新乐士狂刃战士 矮版马甲 海力士A代M代DDR5 台式机内存条16G 32G 24G 48G 96G 6000 6400 电竞超频内存 海力士M代16g*2 6000 C28,2769.0,https://item.jd.com/10187898320758.html,台式-DDR5
2026-01-25,SK HYNIX海力士 DDR5 笔记本内存条 5600 原厂Adie Mdie颗粒 96G(48G*2) DDR5 6400MHz,8998.0,https://item.jd.com/10163334415714.html,笔记本-DDR5
2026-01-25,七彩虹（Colorful）32G(16G*2)DDR5 6800 台式机内存条 马甲条 战斧系列·陨铁黑 C38 三星颗粒,2899.0,https://item.jd.com/100195003660.html,台式-DDR5
2026-01-25,阿斯加特（Asgard）48GB(24GBx2) DDR5 6000 台式机内存条 海拉 马甲条 精选颗粒 CL42 极夜白,2899.0,https://item.jd.com/100237817665.html,台式-DDR5
2026-01-25,七彩虹（Colorful）32G(16G*2) DDR5 6800 台式机内存条 马甲条 C38 三星颗粒 战斧系列·皓月白,3249.0,https://item.jd.com/100206844092.html,台式-DDR5
2026-01-25,SK 海力士官方旗舰店 DDR5 4800 5600 6400 笔记本内存条  官方直营  海力士 48GB DDR5 6400MHZ*2条【同批次套装】,9998.0,https://item.jd.com/10200513143481.html,笔记本-DDR5
2026-01-25,YSSOMAR 香港黑龙 白极光Ⅱ DDR5 6000MHz 时序c28 海力士M-DIE颗粒 流光导光柱内存条 6000MHz 海力士M-DIE c30 星野黑 32GB 1套 16Gx2,2647.0,https://item.jd.com/10205427902566.html,台式-DDR5
2026-01-25,YSSOMAR 香港黑龙 白极光Ⅱ DDR5 6000MHz 时序c28 海力士M-DIE颗粒 流光导光柱内存条 6000MHz 海力士M-DIE c28 月夜白 32GB 1套 16Gx2,2677.0,https://item.jd.com/10199799762790.html,台式-DDR5
2026-01-25,JUHOR玖合 32GB(16GBx2)套装 DDR5 6000 台式机内存条 海力士A-die颗粒 CL28 玲珑无灯 助力AI ,3559.0,https://item.jd.com/100120685533.html,台式-DDR5
2026-01-25,金士顿（Kingston） Beast野兽系列 4代 台式机内存条DDR4 Fury骇客神条灯条电脑运行内存条 支持XMP DDR4 2400MHz 马甲条 16GB 2条 *32G（16G*2）,1598.0,https://item.jd.com/10181702561288.html,台式-DDR4
2026-01-25,YSSOMAR 香港黑龙 白极光Ⅱ DDR5 6000MHz 时序c28 海力士M-DIE颗粒 流光导光柱内存条 6000MHz 海力士M-DIE c30 月夜白 32GB 1套 16Gx2,2647.0,https://item.jd.com/10205427902564.html,台式-DDR5
2026-01-25,宏碁掠夺者（PREDATOR） DDR5 台式机内存条 Vesta II炫光系列 7200频率 C34炫光银Adie 364 32GB 2条套条 16*2,2899.0,https://item.jd.com/10206504033523.html,台式-DDR5
2026-01-25,YSSOMAR 香港黑龙 白极光Ⅱ DDR5 6000MHz 时序c28 海力士M-DIE颗粒 流光导光柱内存条 6000MHz 海力士M-DIE c28 月夜白 16GB 1条,1355.0,https://item.jd.com/10199799762789.html,台式-DDR5
2026-01-25,金士顿（Kingston） Beast野兽系列 4代 台式机内存条DDR4 Fury骇客神条灯条电脑运行内存条 支持XMP DDR4 3200MHz 马甲条 16GB 2条 *32G（16G*2）,2399.0,https://item.jd.com/10181702561284.html,台式-DDR4
2026-01-25,YSSOMAR 香港黑龙 DDR4  白极光 台式机内存条 3600MHz (黑橙） 时序cl16 海力士CJR 32GB 1套 16GBx2 连号,1599.0,https://item.jd.com/10208541443034.html,台式-DDR4
